Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Study_Efficiency,Attendance_Level,Engagement_Score,Cumulative_Score,Cumulative_Percentage,ABC_Segment,Score_Stability,XYZ_Segment,R_Score,F_Score,M_Score,R_Quartile,F_Quartile,M_Quartile,RFM_Score,RFM_Segment
14,77,Low,High,No,6,75,Medium,Yes,1,Medium,High,Public,Neutral,4,Yes,High School,Near,Female,76,5.0,Medium,57.3,76,0.017133131192443387,A,0.4967141530112327,X,2.5,5.25,7.6,3,1,4,314,Potential Stars
31,69,Medium,Medium,No,7,52,Medium,No,2,High,Low,Public,Neutral,5,No,College,Far,Male,76,1.625,Low,50.8,152,0.034266262384886774,A,-0.13826430117118466,X,4.8,6.550000000000001,7.6,1,3,4,134,Champions
22,75,Medium,Low,Yes,5,66,Low,Yes,2,Low,Medium,Public,Positive,2,No,High School,Far,Male,76,2.869565217391304,Medium,55.5,228,0.051399393577330164,A,0.6476885381006925,Y,3.4,5.95,7.6,2,2,4,224,Potential Stars
9,61,High,Medium,Yes,6,77,Low,No,1,High,Medium,Private,Neutral,2,No,High School,Near,Male,76,7.7,Low,51.8,304,0.06853252476977355,A,1.5230298564080254,Z,2.3,3.9499999999999997,7.6,3,1,4,314,Potential Stars
29,100,High,High,Yes,8,89,Medium,Yes,2,Medium,Medium,Private,Neutral,3,No,High School,Moderate,Female,76,2.966666666666667,High,74.30000000000001,380,0.08566565596221694,A,-0.23415337472333597,X,1.1,7.9,7.6,4,4,4,444,Champions
16,83,Low,Medium,Yes,8,92,Low,Yes,2,High,High,Public,Positive,4,No,Postgraduate,Near,Female,76,5.411764705882353,Medium,66.5,456,0.10279878715466033,A,-0.23413695694918055,X,0.8,5.75,7.6,4,2,4,424,Potential Stars
29,99,High,Medium,Yes,8,98,High,No,5,Low,Low,Public,Neutral,2,No,Postgraduate,Near,Male,76,3.2666666666666666,High,77.6,532,0.1199319183471037,A,1.5792128155073915,Z,0.2,7.85,7.6,4,4,4,444,Champions
27,98,Low,Medium,Yes,6,93,Low,No,5,High,High,Public,Positive,3,No,High School,Moderate,Female,76,3.3214285714285716,High,74.7,608,0.1370650495395471,A,0.7674347291529088,Y,0.7,7.6000000000000005,7.6,4,4,4,444,Champions
30,98,Medium,Low,Yes,9,93,Medium,Yes,1,Low,Low,Private,Positive,3,No,High School,Near,Male,76,3.0,High,75.6,684,0.1541981807319905,A,-0.4694743859349521,X,0.7,7.9,7.6,4,4,4,444,Champions
34,95,Medium,High,Yes,9,54,High,Yes,2,Medium,Medium,Private,Positive,3,No,High School,Moderate,Male,76,1.542857142857143,High,60.300000000000004,760,0.17133131192443388,A,0.5425600435859647,Y,4.6,8.15,7.6,1,4,4,144,Champions
